customer_id,recency_rfm,frequency,monetary,cluster,customer_age,total_purchases,total_spending,average_order_value,total_quantity,total_returns,recency_churn,churn,return_rate,churn_probability,churn_risk
1,58,1,3491,0,70,1,3491,3491.0,5,1.0,58,0,1.0,0.3957544677968437,Medium Risk
2,299,3,7988,0,27,3,7988,2662.6666666666665,8,1.0,299,0,0.3333333333333333,0.4992370434711302,Medium Risk
3,89,8,22587,1,23,8,22587,2823.375,23,3.0,89,0,0.375,0.4989262860658766,Medium Risk
4,127,4,8715,0,66,4,8715,2178.75,9,1.0,127,1,0.25,0.491330602975116,Medium Risk
5,171,8,12524,1,26,8,12524,1565.5,33,4.0,171,0,0.5,0.4601244495160946,Medium Risk
6,463,6,15517,1,24,6,15517,2586.1666666666665,11,0.0,463,1,0.0,0.4671424637764793,Medium Risk
7,566,3,7835,0,34,3,7835,2611.6666666666665,15,1.0,566,0,0.3333333333333333,0.5025682133348846,Medium Risk
8,130,6,15265,1,50,6,15265,2544.1666666666665,17,1.0,130,0,0.1666666666666666,0.4796961278865134,Medium Risk
9,127,5,14720,1,41,5,14720,2944.0,13,3.0,127,0,0.6,0.5042877481556066,Medium Risk
10,230,8,20857,1,58,8,20857,2607.125,20,4.0,230,1,0.5,0.5039958612758452,Medium Risk
11,137,10,23691,1,34,10,23691,2369.1,35,5.0,137,0,0.5,0.4530475625425245,Medium Risk
12,280,6,15378,1,33,6,15378,2563.0,11,1.0,280,0,0.1666666666666666,0.4806347396945526,Medium Risk
13,89,4,7244,0,54,4,7244,1811.0,12,4.0,89,0,1.0,0.4464869137329245,Medium Risk
14,540,6,16161,1,63,6,16161,2693.5,17,2.0,540,1,0.3333333333333333,0.4598219847977245,Medium Risk
15,103,5,19748,1,64,5,19748,3949.6,16,3.0,103,0,0.6,0.4731089270554459,Medium Risk
16,148,5,15246,1,50,5,15246,3049.2,16,1.0,148,1,0.2,0.494513586466262,Medium Risk
17,14,9,24042,1,22,9,24042,2671.333333333333,22,3.0,14,0,0.3333333333333333,0.4967523958438077,Medium Risk
18,116,8,23726,1,58,8,23726,2965.75,21,4.0,116,0,0.5,0.4962668388816212,Medium Risk
19,126,5,8809,0,63,5,8809,1761.8,16,3.0,126,1,0.6,0.4935923309171898,Medium Risk
20,216,8,21428,1,62,8,21428,2678.5,25,4.0,216,0,0.5,0.4973704253648388,Medium Risk
21,80,4,11915,0,69,4,11915,2978.75,8,0.0,80,0,0.0,0.4736399021544356,Medium Risk
22,21,9,32052,1,61,9,32052,3561.333333333333,30,4.0,21,0,0.4444444444444444,0.4465707483800265,Medium Risk
23,86,6,19200,1,62,6,19200,3200.0,17,2.0,86,1,0.3333333333333333,0.4813451810857977,Medium Risk
24,142,6,23966,1,49,6,23966,3994.3333333333335,19,3.0,142,1,0.5,0.4762666158851765,Medium Risk
25,305,6,17455,1,33,6,17455,2909.1666666666665,18,2.0,305,0,0.3333333333333333,0.480115271359093,Medium Risk
26,432,6,19699,1,36,6,19699,3283.1666666666665,20,4.0,432,1,0.6666666666666666,0.499648631635169,Medium Risk
27,124,3,12260,0,61,3,12260,4086.6666666666665,9,0.0,124,1,0.0,0.505087772472133,Medium Risk
28,139,6,10217,1,70,6,10217,1702.8333333333333,17,1.0,139,0,0.1666666666666666,0.4457132216683614,Medium Risk
29,479,7,16694,1,36,7,16694,2384.8571428571427,22,2.0,479,0,0.2857142857142857,0.475618292797384,Medium Risk
30,69,11,31412,1,27,11,31412,2855.6363636363635,45,3.0,69,0,0.2727272727272727,0.4001535591419934,Medium Risk
31,61,4,9404,0,23,4,9404,2351.0,12,1.0,61,0,0.25,0.49210812896267,Medium Risk
32,424,6,17567,1,19,6,17567,2927.833333333333,13,2.0,424,1,0.3333333333333333,0.524985852378834,Medium Risk
33,233,8,13281,1,37,8,13281,1660.125,22,4.0,233,0,0.5,0.4698400275286634,Medium Risk
34,972,2,3345,0,41,2,3345,1672.5,8,1.0,972,0,0.5,0.5036202965840527,Medium Risk
35,137,8,12260,1,27,8,12260,1532.5,28,3.0,137,1,0.375,0.4701958682592063,Medium Risk
36,212,4,11581,0,36,4,11581,2895.25,13,3.0,212,0,0.75,0.5081724318079411,Medium Risk
37,316,4,9371,0,44,4,9371,2342.75,11,0.0,316,0,0.0,0.4761905048992897,Medium Risk
38,178,3,6691,0,70,3,6691,2230.333333333333,7,2.0,178,0,0.6666666666666666,0.4781485852911469,Medium Risk
39,145,4,13229,0,43,4,13229,3307.25,13,3.0,145,0,0.75,0.5071234581775736,Medium Risk
40,479,2,5188,0,56,2,5188,2594.0,6,0.0,479,0,0.0,0.5061797965371293,Medium Risk
41,229,6,13607,1,54,6,13607,2267.833333333333,17,1.0,229,1,0.1666666666666666,0.4797946644863952,Medium Risk
42,26,3,6548,0,21,3,6548,2182.6666666666665,9,2.0,26,0,0.6666666666666666,0.5078296740441243,Medium Risk
43,61,5,9593,0,29,5,9593,1918.6,11,2.0,61,0,0.4,0.514191113702985,Medium Risk
44,226,5,16375,1,51,5,16375,3275.0,22,3.0,226,0,0.6,0.4987271293566228,Medium Risk
45,92,2,6977,0,46,2,6977,3488.5,6,0.0,92,1,0.0,0.5158087738912148,Medium Risk
46,100,7,19650,1,61,7,19650,2807.1428571428573,23,1.0,100,0,0.1428571428571428,0.4821643824912519,Medium Risk
