customer_id,recency,frequency,monetary
1,58,1,3491
2,299,3,7988
3,89,8,22587
4,127,4,8715
5,171,8,12524
6,463,6,15517
7,566,3,7835
8,130,6,15265
9,127,5,14720
10,230,8,20857
11,137,10,23691
12,280,6,15378
13,89,4,7244
14,540,6,16161
15,103,5,19748
16,148,5,15246
17,14,9,24042
18,116,8,23726
19,126,5,8809
20,216,8,21428
21,80,4,11915
22,21,9,32052
23,86,6,19200
24,142,6,23966
25,305,6,17455
26,432,6,19699
27,124,3,12260
28,139,6,10217
29,479,7,16694
30,69,11,31412
31,61,4,9404
32,424,6,17567
33,233,8,13281
34,972,2,3345
35,137,8,12260
36,212,4,11581
37,316,4,9371
38,178,3,6691
39,145,4,13229
40,479,2,5188
41,229,6,13607
42,26,3,6548
43,61,5,9593
44,226,5,16375
45,92,2,6977
46,100,7,19650
47,336,3,10807
48,457,5,17172
49,632,4,8325
50,21,5,15669
51,341,4,10480
52,449,2,5280
53,300,2,4833
54,253,5,17813
55,127,5,12581
56,136,8,20131
57,508,3,6606
58,677,5,10212
59,28,6,16868
60,106,5,17465
61,370,6,15414
62,248,5,12484
63,702,2,1630
64,161,2,4970
65,167,6,14844
66,89,5,11419
67,1,10,26885
68,424,8,24392
69,313,6,14878
70,75,7,16339
71,63,7,29547
72,107,3,4248
73,71,6,19807
74,516,3,6452
75,127,5,9502
76,104,4,5934
77,209,5,11725
78,158,5,13720
79,33,6,9338
80,889,3,3614
81,358,8,26059
82,43,7,25574
83,241,4,7945
84,1072,2,3246
85,263,6,13092
86,74,6,16526
87,302,2,7101
88,348,2,5756
89,357,6,10085
90,13,5,14717
91,2,7,18782
92,76,5,14002
93,316,4,6174
94,75,6,15746
95,9,7,15109
96,91,6,21417
97,175,5,12436
98,167,6,13920
99,83,9,27864
100,40,3,9175
101,203,5,8932
102,675,5,8200
103,487,6,15288
104,850,4,8740
105,90,5,14282
106,8,6,25190
107,248,5,11656
108,10,6,19997
109,57,5,13786
110,257,6,20022
111,324,5,16366
112,339,6,9670
113,90,7,19076
114,334,4,11741
115,988,5,10746
116,768,5,15076
117,621,4,15312
118,92,7,18827
119,20,7,21299
120,298,5,12304
121,714,4,11953
122,152,7,16164
123,47,10,22880
124,35,2,7455
125,78,2,4708
126,260,2,7596
127,316,3,9338
128,137,8,20798
129,402,6,13211
130,45,5,17654
131,150,8,28943
132,266,6,16192
133,27,3,9589
134,210,4,8393
135,208,7,18851
136,546,8,23349
137,213,3,9580
138,126,3,8202
139,212,3,5736
140,64,4,14314
141,22,4,11676
142,108,3,10435
143,126,10,28052
144,231,5,13207
145,37,9,29550
146,285,4,14791
147,481,3,10811
148,203,6,15591
149,389,6,17933
150,214,4,12774
151,494,5,14501
152,56,4,10468
153,246,3,6623
154,101,9,25380
155,168,5,12642
156,38,9,22874
157,41,3,6157
158,130,5,16971
159,40,4,12853
160,81,4,15370
161,59,6,9306
162,146,5,15101
163,215,5,15047
164,56,8,29989
165,268,3,6881
166,243,3,7591
167,25,7,22147
168,212,7,14442
169,208,3,3803
170,924,2,5426
171,314,4,10992
172,16,7,13223
173,107,5,13744
174,78,7,18810
175,24,10,25850
176,573,4,10131
177,189,3,9008
178,241,5,10246
179,159,6,21133
180,339,5,17410
181,272,3,8615
182,107,5,16849
183,186,9,18355
184,119,7,19182
185,13,5,18565
186,250,7,21730
187,105,5,10239
188,27,5,14101
189,258,3,10520
190,182,7,21718
191,126,3,7322
192,503,4,15844
193,360,2,2732
194,314,5,14236
195,194,4,11254
196,525,5,12081
197,308,5,16963
198,11,4,11621
199,22,5,14745
200,69,3,7781
201,456,3,9158
202,295,5,11379
203,155,7,17494
204,83,4,7435
205,328,3,7931
206,90,9,33113
207,248,2,8113
208,699,5,12090
209,86,4,9495
210,205,3,10271
211,545,4,7402
212,90,3,9094
213,972,2,4257
214,83,6,20552
215,60,3,5751
216,10,8,26378
217,134,7,21199
218,185,3,10551
219,360,4,6719
220,356,4,7900
221,530,1,1682
222,1166,1,1858
223,101,7,12526
224,574,3,7708
225,170,9,27373
226,792,2,7801
227,138,5,15893
228,1344,1,4391
229,294,4,8695
230,172,3,3628
231,24,4,13780
232,429,2,8430
233,504,4,9134
234,32,4,7162
235,859,5,16282
236,92,7,18070
237,684,6,16232
238,402,4,11713
239,2,9,16179
240,89,7,27504
241,3,3,8512
242,311,6,18077
243,19,7,19425
244,416,2,4855
245,322,5,16285
246,213,7,16653
247,439,3,3410
248,34,4,9714
249,202,10,38148
250,109,6,16159
