customer_id,recency,frequency,monetary,cluster
1,58,1,3491,0
2,299,3,7988,0
3,89,8,22587,1
4,127,4,8715,0
5,171,8,12524,1
6,463,6,15517,1
7,566,3,7835,0
8,130,6,15265,1
9,127,5,14720,1
10,230,8,20857,1
11,137,10,23691,1
12,280,6,15378,1
13,89,4,7244,0
14,540,6,16161,1
15,103,5,19748,1
16,148,5,15246,1
17,14,9,24042,1
18,116,8,23726,1
19,126,5,8809,0
20,216,8,21428,1
21,80,4,11915,0
22,21,9,32052,1
23,86,6,19200,1
24,142,6,23966,1
25,305,6,17455,1
26,432,6,19699,1
27,124,3,12260,0
28,139,6,10217,1
29,479,7,16694,1
30,69,11,31412,1
31,61,4,9404,0
32,424,6,17567,1
33,233,8,13281,1
34,972,2,3345,0
35,137,8,12260,1
36,212,4,11581,0
37,316,4,9371,0
38,178,3,6691,0
39,145,4,13229,0
40,479,2,5188,0
41,229,6,13607,1
42,26,3,6548,0
43,61,5,9593,0
44,226,5,16375,1
45,92,2,6977,0
46,100,7,19650,1
47,336,3,10807,0
48,457,5,17172,0
49,632,4,8325,0
50,21,5,15669,1
51,341,4,10480,0
52,449,2,5280,0
53,300,2,4833,0
54,253,5,17813,1
55,127,5,12581,0
56,136,8,20131,1
57,508,3,6606,0
58,677,5,10212,0
59,28,6,16868,1
60,106,5,17465,1
61,370,6,15414,1
62,248,5,12484,0
63,702,2,1630,0
64,161,2,4970,0
65,167,6,14844,1
66,89,5,11419,0
67,1,10,26885,1
68,424,8,24392,1
69,313,6,14878,1
70,75,7,16339,1
71,63,7,29547,1
72,107,3,4248,0
73,71,6,19807,1
74,516,3,6452,0
75,127,5,9502,0
76,104,4,5934,0
77,209,5,11725,0
78,158,5,13720,1
79,33,6,9338,1
80,889,3,3614,0
81,358,8,26059,1
82,43,7,25574,1
83,241,4,7945,0
84,1072,2,3246,0
85,263,6,13092,1
86,74,6,16526,1
87,302,2,7101,0
88,348,2,5756,0
89,357,6,10085,0
90,13,5,14717,1
91,2,7,18782,1
92,76,5,14002,1
93,316,4,6174,0
94,75,6,15746,1
95,9,7,15109,1
96,91,6,21417,1
97,175,5,12436,0
98,167,6,13920,1
99,83,9,27864,1
100,40,3,9175,0
101,203,5,8932,0
102,675,5,8200,0
103,487,6,15288,1
104,850,4,8740,0
105,90,5,14282,1
106,8,6,25190,1
107,248,5,11656,0
108,10,6,19997,1
109,57,5,13786,1
110,257,6,20022,1
111,324,5,16366,1
112,339,6,9670,0
113,90,7,19076,1
114,334,4,11741,0
115,988,5,10746,0
116,768,5,15076,0
117,621,4,15312,0
118,92,7,18827,1
119,20,7,21299,1
120,298,5,12304,0
121,714,4,11953,0
122,152,7,16164,1
123,47,10,22880,1
124,35,2,7455,0
125,78,2,4708,0
126,260,2,7596,0
127,316,3,9338,0
128,137,8,20798,1
129,402,6,13211,0
130,45,5,17654,1
131,150,8,28943,1
132,266,6,16192,1
133,27,3,9589,0
134,210,4,8393,0
135,208,7,18851,1
136,546,8,23349,1
137,213,3,9580,0
138,126,3,8202,0
139,212,3,5736,0
140,64,4,14314,0
141,22,4,11676,0
142,108,3,10435,0
143,126,10,28052,1
144,231,5,13207,0
145,37,9,29550,1
146,285,4,14791,0
147,481,3,10811,0
148,203,6,15591,1
149,389,6,17933,1
150,214,4,12774,0
151,494,5,14501,0
152,56,4,10468,0
153,246,3,6623,0
154,101,9,25380,1
155,168,5,12642,0
156,38,9,22874,1
157,41,3,6157,0
158,130,5,16971,1
159,40,4,12853,0
160,81,4,15370,1
161,59,6,9306,1
162,146,5,15101,1
163,215,5,15047,1
164,56,8,29989,1
165,268,3,6881,0
166,243,3,7591,0
167,25,7,22147,1
168,212,7,14442,1
169,208,3,3803,0
170,924,2,5426,0
171,314,4,10992,0
172,16,7,13223,1
173,107,5,13744,1
174,78,7,18810,1
175,24,10,25850,1
176,573,4,10131,0
177,189,3,9008,0
178,241,5,10246,0
179,159,6,21133,1
180,339,5,17410,1
181,272,3,8615,0
182,107,5,16849,1
183,186,9,18355,1
184,119,7,19182,1
185,13,5,18565,1
186,250,7,21730,1
187,105,5,10239,0
188,27,5,14101,1
189,258,3,10520,0
190,182,7,21718,1
191,126,3,7322,0
192,503,4,15844,0
193,360,2,2732,0
194,314,5,14236,0
195,194,4,11254,0
196,525,5,12081,0
197,308,5,16963,1
198,11,4,11621,0
199,22,5,14745,1
200,69,3,7781,0
201,456,3,9158,0
202,295,5,11379,0
203,155,7,17494,1
204,83,4,7435,0
205,328,3,7931,0
206,90,9,33113,1
207,248,2,8113,0
208,699,5,12090,0
209,86,4,9495,0
210,205,3,10271,0
211,545,4,7402,0
212,90,3,9094,0
213,972,2,4257,0
214,83,6,20552,1
215,60,3,5751,0
216,10,8,26378,1
217,134,7,21199,1
218,185,3,10551,0
219,360,4,6719,0
220,356,4,7900,0
221,530,1,1682,0
222,1166,1,1858,0
223,101,7,12526,1
224,574,3,7708,0
225,170,9,27373,1
226,792,2,7801,0
227,138,5,15893,1
228,1344,1,4391,0
229,294,4,8695,0
230,172,3,3628,0
231,24,4,13780,0
232,429,2,8430,0
233,504,4,9134,0
234,32,4,7162,0
235,859,5,16282,0
236,92,7,18070,1
237,684,6,16232,0
238,402,4,11713,0
239,2,9,16179,1
240,89,7,27504,1
241,3,3,8512,0
242,311,6,18077,1
243,19,7,19425,1
244,416,2,4855,0
245,322,5,16285,1
246,213,7,16653,1
247,439,3,3410,0
248,34,4,9714,0
249,202,10,38148,1
250,109,6,16159,1
251,249,3,8748,0
252,551,5,14838,0
253,98,7,24519,1
254,129,2,2953,0
255,54,10,20773,1
256,609,4,12926,0
257,249,8,22547,1
258,209,2,9824,0
259,555,1,1567,0
260,173,7,13836,1
261,52,5,15835,1
262,450,4,11127,0
263,158,5,14429,1
264,101,3,8452,0
265,48,9,21815,1
266,68,4,11073,0
267,1234,3,13114,0
268,280,3,10427,0
269,517,2,3902,0
270,203,5,20427,1
271,735,2,6146,0
272,600,9,21945,1
273,153,9,24460,1
274,18,5,16900,1
275,95,10,26491,1
276,89,7,17400,1
277,194,4,11170,0
278,154,1,497,0
279,163,3,8499,0
280,461,1,4478,0
281,24,3,11341,0
282,6,8,22195,1
283,183,3,12177,0
284,322,4,12730,0
285,427,6,16150,1
286,4,5,14615,1
287,31,4,10939,0
288,142,4,15613,0
289,153,7,10699,1
290,91,9,24353,1
291,1,3,11249,0
292,411,2,7094,0
293,143,5,13663,1
294,524,5,8555,0
295,198,9,27737,1
296,133,7,20804,1
297,20,4,13950,0
298,105,3,7522,0
299,162,4,10898,0
300,134,6,19977,1
301,113,4,15948,1
302,530,7,21151,1
303,174,4,16129,0
304,75,2,6106,0
305,258,5,6997,0
306,198,2,3317,0
307,656,5,16633,0
308,21,7,14780,1
309,223,2,3449,0
310,575,1,1087,0
311,192,2,6682,0
312,15,4,11425,0
313,144,4,12950,0
314,79,8,18933,1
315,14,6,19217,1
316,141,7,25377,1
317,104,8,16513,1
318,245,7,20124,1
319,38,10,23082,1
320,159,2,2310,0
321,137,5,18387,1
322,69,7,11270,1
323,227,4,8725,0
324,20,7,16742,1
325,384,5,14095,0
326,211,5,10936,0
327,431,5,15245,0
328,172,5,16634,1
329,107,5,10534,0
330,304,3,5267,0
331,151,5,18129,1
332,491,4,11945,0
333,787,2,6123,0
334,230,5,17086,1
335,309,2,7800,0
336,1066,1,2057,0
337,259,3,11180,0
338,41,3,7311,0
339,143,3,9834,0
340,41,7,24638,1
341,30,8,17859,1
342,265,3,8515,0
343,93,2,4484,0
344,389,1,3003,0
345,311,5,17538,1
346,64,7,16157,1
347,74,8,21875,1
348,188,3,4142,0
349,220,4,12553,0
350,136,8,22382,1
351,59,5,19807,1
352,181,8,19887,1
353,214,4,15781,0
354,422,1,725,0
355,84,4,14575,0
356,89,8,22983,1
357,52,3,7512,0
358,2,4,14881,1
359,38,2,5195,0
360,30,3,11966,0
361,799,1,3342,0
362,280,6,6593,0
363,168,8,27299,1
364,164,4,11203,0
365,548,2,6047,0
366,425,6,15811,1
367,65,5,9377,0
368,15,8,28667,1
369,250,8,28653,1
370,163,9,25741,1
371,617,2,8274,0
372,211,7,21589,1
373,21,4,10285,0
374,97,7,18545,1
375,219,7,16251,1
376,569,8,28434,1
377,422,1,1574,0
378,389,6,13945,1
379,12,13,26926,1
380,206,4,14409,0
381,300,7,20855,1
382,248,2,2163,0
383,102,5,12387,0
384,185,6,14644,1
385,96,13,19146,1
386,446,4,6495,0
387,35,11,36989,1
388,291,6,21151,1
389,24,7,15497,1
390,154,5,9845,0
391,631,2,4834,0
392,107,3,8802,0
393,603,3,9284,0
394,316,5,12030,0
395,4,10,25602,1
396,50,6,17647,1
397,76,3,4972,0
398,305,6,12028,0
399,72,7,17086,1
400,262,12,33709,1
401,113,3,8727,0
402,1,6,14420,1
403,27,6,10981,1
404,196,5,15196,1
405,45,6,19924,1
406,833,6,7333,0
407,221,7,20644,1
408,411,4,7886,0
409,39,6,9498,1
410,59,4,10371,0
411,224,4,14297,0
412,206,5,6921,0
413,53,6,19045,1
414,73,6,13208,1
415,49,7,19376,1
416,89,7,14965,1
417,257,6,18992,1
418,132,4,11266,0
419,60,8,23627,1
420,17,5,11980,1
421,123,4,18158,1
422,83,5,14722,1
423,543,2,6944,0
426,839,5,5314,0
427,15,9,22480,1
428,634,4,9501,0
429,456,5,8326,0
430,534,2,8019,0
431,92,8,25467,1
432,2,7,22702,1
433,357,1,3847,0
434,60,4,11825,0
435,266,5,12347,0
436,150,5,11109,0
437,571,7,22333,1
438,1019,2,4402,0
439,14,8,18362,1
440,96,10,28560,1
442,265,4,12242,0
443,8,8,26062,1
444,64,7,25034,1
445,171,3,4943,0
446,99,9,22465,1
447,81,4,5947,0
448,3,4,8026,0
449,379,5,18248,1
450,114,7,18267,1
451,99,3,7882,0
452,933,3,6869,0
453,933,6,13305,0
454,297,3,8275,0
455,1177,1,4849,0
456,1337,1,4539,0
457,43,5,14352,1
458,205,3,6957,0
459,1217,1,2545,0
460,234,5,15315,1
461,745,8,21087,1
462,459,5,11133,0
463,735,3,6805,0
464,640,4,10306,0
465,148,7,20580,1
466,64,4,11472,0
467,318,4,10566,0
468,53,8,24500,1
469,304,6,16388,1
470,41,4,9378,0
471,36,6,12763,1
472,324,2,5887,0
473,438,5,13472,0
474,7,5,8809,0
475,49,9,14942,1
476,384,4,12942,0
477,309,3,8855,0
478,214,2,5707,0
479,167,7,17409,1
480,107,3,4600,0
481,403,5,14253,0
482,75,6,13560,1
483,265,3,6089,0
484,861,1,4521,0
485,1087,3,5487,0
486,358,5,17583,1
487,335,7,19596,1
488,161,7,21330,1
489,326,4,12979,0
490,194,2,8306,0
491,592,4,11834,0
492,619,2,4370,0
493,295,3,9172,0
494,246,6,20106,1
495,418,6,17425,1
496,76,1,2649,0
497,668,2,3913,0
498,496,2,5403,0
499,309,5,18375,1
500,250,6,20407,1
501,371,3,8879,0
502,361,6,20871,1
503,664,3,8970,0
504,603,3,6436,0
505,75,13,31931,1
506,54,9,16383,1
507,693,1,488,0
508,796,2,6275,0
509,1070,4,8498,0
510,398,6,18307,1
511,7,3,9266,0
512,179,5,18370,1
513,45,11,21332,1
514,341,4,13531,0
515,917,2,8674,0
516,94,5,17718,1
517,43,2,2680,0
518,395,3,8213,0
519,330,5,14492,0
520,104,6,15681,1
521,207,4,8511,0
522,350,2,7662,0
523,132,3,9358,0
524,392,6,22116,1
525,42,8,25058,1
526,57,5,9339,0
527,773,3,1437,0
528,381,7,19514,1
529,111,6,18297,1
530,59,5,7613,0
531,111,5,15206,1
532,66,5,13922,1
533,280,5,11376,0
534,124,2,4830,0
535,70,6,14206,1
536,758,8,17653,1
537,36,9,33315,1
538,361,4,11357,0
539,103,6,14695,1
540,518,5,14931,0
541,96,7,16195,1
542,180,4,14809,0
543,992,3,7851,0
544,298,4,13591,0
545,101,6,16230,1
546,208,6,11128,1
547,985,2,6109,0
548,19,10,30644,1
549,158,7,21906,1
550,165,5,12858,0
